Title,Name,OrderIndex,DataType,Address,Length
EQ_05,CRANE_1_FromSTK,12,Bit,D10428.C,1
EQ_05,CRANE_2_FromSTK,13,Bit,D10428.D,1
EQ_05,A.Error_FromSTK,14,Bit,D10428.E,1
EQ_05,ForkNumber_FromSTK,15,Bit,D10428.F,1
EQ_05,CSTID,16,WordBlock,W2940,10
EQ_06,L_REQ,0,Bit,D10432.0,1
EQ_06,U_REQ,1,Bit,D10432.1,1
EQ_06,Ready,2,Bit,D10432.2,1
EQ_06,CARRIER,3,Bit,D10432.3,1
EQ_06,P.Error,4,Bit,D10432.4,1
EQ_06,Spare,5,Bit,D10432.5,1
EQ_06,P.Online,6,Bit,D10432.6,1
EQ_06,P.E-STOP,7,Bit,D10432.7,1
